|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      17 |        7100 |       12:34:15 |         0.48 |         0.57 |       0.1145 |       0.1607 |      1.0000e-04 |
|      17 |        7150 |       12:39:30 |         0.55 |         0.57 |       0.1512 |       0.1621 |      1.0000e-04 |
|      17 |        7200 |       12:44:46 |         0.53 |         0.57 |       0.1379 |       0.1626 |      1.0000e-04 |
|      17 |        7250 |       12:50:03 |         0.53 |         0.57 |       0.1390 |       0.1615 |      1.0000e-04 |
|      17 |        7300 |       12:55:20 |         0.56 |         0.56 |       0.1561 |       0.1571 |      1.0000e-04 |
|      17 |        7350 |       13:00:34 |         0.53 |         0.58 |       0.1394 |       0.1679 |      1.0000e-04 |
|      18 |        7400 |       13:05:48 |         0.70 |         0.57 |       0.2468 |       0.1620 |      1.0000e-04 |
|      18 |        7450 |       13:11:02 |         0.59 |         0.57 |       0.1723 |       0.1621 |      1.0000e-04 |
|      18 |        7500 |       13:16:21 |         0.47 |         0.56 |       0.1101 |       0.1574 |      1.0000e-04 |
|      18 |        7550 |       13:21:39 |         0.50 |         0.55 |       0.1264 |       0.1538 |      1.0000e-04 |
|      18 |        7600 |       13:27:03 |         0.57 |         0.56 |       0.1631 |       0.1549 |      1.0000e-04 |
|      18 |        7650 |       13:32:18 |         0.52 |         0.57 |       0.1341 |       0.1622 |      1.0000e-04 |
|      18 |        7700 |       13:37:34 |         0.55 |         0.57 |       0.1539 |       0.1610 |      1.0000e-04 |
|      18 |        7750 |       13:42:51 |         0.52 |         0.57 |       0.1337 |       0.1613 |      1.0000e-04 |
|      18 |        7800 |       13:48:08 |         0.58 |         0.56 |       0.1711 |       0.1580 |      1.0000e-04 |
|      19 |        7850 |       13:53:26 |         0.52 |         0.55 |       0.1358 |       0.1529 |      1.0000e-04 |
|      19 |        7900 |       13:58:47 |         0.54 |         0.55 |       0.1452 |       0.1526 |      1.0000e-04 |
|      19 |        7950 |       14:04:04 |         0.52 |         0.55 |       0.1372 |       0.1526 |      1.0000e-04 |
|      19 |        8000 |       14:09:24 |         0.53 |         0.55 |       0.1426 |       0.1511 |      1.0000e-04 |
|      19 |        8050 |       14:14:43 |         0.56 |         0.55 |       0.1558 |       0.1506 |      1.0000e-04 |
|      19 |        8100 |       14:20:00 |         0.56 |         0.55 |       0.1586 |       0.1523 |      1.0000e-04 |
|      19 |        8150 |       14:25:23 |         0.53 |         0.56 |       0.1421 |       0.1585 |      1.0000e-04 |
|      19 |        8200 |       14:30:43 |         0.53 |         0.55 |       0.1390 |       0.1504 |      1.0000e-04 |
|      19 |        8250 |       14:36:02 |         0.55 |         0.55 |       0.1532 |       0.1498 |      1.0000e-04 |
|      20 |        8300 |       14:41:19 |         0.53 |         0.55 |       0.1429 |       0.1539 |      1.0000e-04 |
|      20 |        8350 |       14:46:37 |         0.52 |         0.54 |       0.1367 |       0.1467 |      1.0000e-04 |
|      20 |        8400 |       14:51:52 |         0.59 |         0.55 |       0.1736 |       0.1523 |      1.0000e-04 |
|      20 |        8450 |       14:57:07 |         0.51 |         0.55 |       0.1292 |       0.1501 |      1.0000e-04 |
|      20 |        8500 |       15:02:25 |         0.48 |         0.54 |       0.1175 |       0.1476 |      1.0000e-04 |
|      20 |        8550 |       15:07:46 |         0.50 |         0.54 |       0.1252 |       0.1456 |      1.0000e-04 |
|      20 |        8600 |       15:13:04 |         0.50 |         0.54 |       0.1262 |       0.1466 |      1.0000e-04 |
|      20 |        8650 |       15:18:24 |         0.52 |         0.54 |       0.1376 |       0.1434 |      1.0000e-04 |
|      20 |        8700 |       15:23:43 |         0.55 |         0.54 |       0.1528 |       0.1461 |      1.0000e-04 |
|      21 |        8750 |       15:29:00 |         0.48 |         0.54 |       0.1154 |       0.1462 |      1.0000e-04 |
|      21 |        8800 |       15:34:17 |         0.51 |         0.55 |       0.1322 |       0.1535 |      1.0000e-04 |
|      21 |        8850 |       15:39:39 |         0.50 |         0.54 |       0.1256 |       0.1441 |      1.0000e-04 |
|      21 |        8900 |       15:44:56 |         0.46 |         0.54 |       0.1049 |       0.1438 |      1.0000e-04 |
|      21 |        8950 |       15:50:12 |         0.56 |         0.53 |       0.1565 |       0.1429 |      1.0000e-04 |
|      21 |        9000 |       15:55:30 |         0.50 |         0.54 |       0.1275 |       0.1445 |      1.0000e-04 |
|      21 |        9050 |       16:00:45 |         0.54 |         0.54 |       0.1459 |       0.1436 |      1.0000e-04 |
|      21 |        9100 |       16:06:00 |         0.49 |         0.53 |       0.1221 |       0.1429 |      1.0000e-04 |
|      22 |        9150 |       16:11:17 |         0.51 |         0.55 |       0.1320 |       0.1501 |      1.0000e-04 |
|      22 |        9200 |       16:16:34 |         0.58 |         0.55 |       0.1698 |       0.1487 |      1.0000e-04 |
|      22 |        9250 |       16:21:50 |         0.51 |         0.53 |       0.1322 |       0.1428 |      1.0000e-04 |
|      22 |        9300 |       16:27:09 |         0.55 |         0.54 |       0.1512 |       0.1441 |      1.0000e-04 |
|      22 |        9350 |       16:32:29 |         0.49 |         0.54 |       0.1199 |       0.1437 |      1.0000e-04 |
|      22 |        9400 |       16:37:45 |         0.52 |         0.54 |       0.1371 |       0.1433 |      1.0000e-04 |
|      22 |        9450 |       16:43:01 |         0.48 |         0.54 |       0.1143 |       0.1438 |      1.0000e-04 |
|      22 |        9500 |       16:48:22 |         0.53 |         0.53 |       0.1397 |       0.1428 |      1.0000e-04 |
|      22 |        9550 |       16:53:41 |         0.50 |         0.52 |       0.1274 |       0.1376 |      1.0000e-04 |
|      23 |        9600 |       16:59:01 |         0.53 |         0.53 |       0.1427 |       0.1391 |      1.0000e-04 |
|      23 |        9650 |       17:04:20 |         0.51 |         0.53 |       0.1285 |       0.1382 |      1.0000e-04 |
|      23 |        9700 |       17:09:43 |         0.52 |         0.52 |       0.1371 |       0.1378 |      1.0000e-04 |
|      23 |        9750 |       17:14:58 |         0.58 |         0.53 |       0.1676 |       0.1406 |      1.0000e-04 |
|      23 |        9800 |       17:20:18 |         0.54 |         0.52 |       0.1481 |       0.1368 |      1.0000e-04 |
|      23 |        9850 |       17:25:35 |         0.51 |         0.52 |       0.1299 |       0.1361 |      1.0000e-04 |
|      23 |        9900 |       17:30:52 |         0.48 |         0.52 |       0.1133 |       0.1363 |      1.0000e-04 |
